timestamp_utc,mode,level,airborne,expected,alerted,detail
2026-06-09T02:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T03:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T03:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T04:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T04:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T04:48:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T05:00:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T05:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T06:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T06:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T07:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T07:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T08:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T08:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T08:38:26+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T09:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T09:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T10:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T10:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T11:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T11:30:49+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T12:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T12:13:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T12:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T13:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T13:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T14:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T14:30:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T15:01:06+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T15:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T15:43:22+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T16:01:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T16:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T17:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T17:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T18:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T18:18:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T18:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T19:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T19:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T20:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T20:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T20:33:10+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T21:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T21:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T22:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T22:12:29+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T22:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T23:00:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T23:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-09T23:54:19+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T00:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T00:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T01:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T01:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T02:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T02:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T03:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T03:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T04:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T04:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T04:40:19+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T05:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T05:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T06:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T06:30:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T07:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T07:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T08:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T08:30:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T08:59:07+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T09:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T09:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T10:01:04+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T10:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T11:01:04+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T11:30:49+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T12:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T12:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T12:34:04+00:00,rss,,,,False,sin items (nivel < 5)
